date	id	Crop	NDVI	EVI	GNDVI	MSAVI
2019-06-17	384	OLIVERES	0.4285215	0.32493332	0.4975811	0.29773092
2019-06-17	385	OLIVERES	0.30398273	0.2612967	0.39487103	0.23338807
2019-06-17	387	OLIVERES	0.29384446	0.26449028	0.38358575	0.22597674
2019-06-17	388	OLIVERES	0.22895698	0.19342639	0.33333266	0.17195076
2019-06-17	389	OLIVERES	0.28462258	0.25353307	0.3667356	0.21919554
2019-06-17	390	OLIVERES	0.2505272	0.23961268	0.33587003	0.20185727
2019-06-17	391	OLIVERES	0.22185564	0.19746456	0.3071102	0.17238253
2019-06-17	392	OLIVERES	0.21781366	0.19682533	0.32838523	0.17623019
2019-06-17	394	OLIVERES	0.18954235	0.17097372	0.30307874	0.1507158
2019-06-17	395	OLIVERES	0.2748328	0.2406097	0.37785283	0.21912754
2019-06-17	400	OLIVERES	0.21306816	0.20192945	0.30889332	0.17348835
2019-06-17	403	OLIVERES	0.2313646	0.1949232	0.36005765	0.17868876
2019-06-17	404	AMETLLERS	0.24028124	0.21930814	0.31815174	0.19561577
2019-06-17	406	AMETLLERS	0.3339012	0.25985134	0.4146331	0.22335637
2019-06-17	409	AMETLLERS	0.23165986	0.20494135	0.3398664	0.1818465
2019-06-17	410	AMETLLERS	0.2120627	0.18701908	0.30708152	0.16743562
2019-06-17	411	PÃ?SOLS NO SIE	0.2664764	0.21028501	0.44054836	0.20689473
2019-06-17	412	PÃ?SOLS NO SIE	0.28175235	0.21850708	0.47795457	0.2221297
